"","country","year","risk_factor","totalcase"
"296","Lao People's Democratic Republic",2019,"all",55380
"297","Latvia",2019,"all",2465
"298","Lebanon",2019,"all",4357
"299","Lesotho",2019,"all",69660
"300","Liberia",2019,"all",76120
"301","Libya",2019,"all",19971
"302","Lithuania",2019,"all",5803
"303","Luxembourg",2019,"all",277
"304","Madagascar",2019,"all",315100
"305","Malawi",2019,"all",135450
"306","Malaysia",2019,"all",145230
"307","Maldives",2019,"all",951
"308","Mali",2019,"all",51190
"309","Malta",2019,"all",297
"310","Marshall Islands",2019,"all",1418
"311","Mauritania",2019,"all",20035
"312","Mauritius",2019,"all",738
"313","Mexico",2019,"all",148260
"314","Micronesia (Federated States of)",2019,"all",563
"315","Monaco",2019,"all",0
"316","Mongolia",2019,"all",69450
"317","Montenegro",2019,"all",460
"318","Montserrat",2019,"all",0
"319","Morocco",2019,"all",176300
"320","Mozambique",2019,"all",548400
"321","Myanmar",2019,"all",871200
"322","Namibia",2019,"all",60880
"323","Nauru",2019,"all",95
"324","Nepal",2019,"all",340300
"325","Netherlands",2019,"all",4290
"326","New Caledonia",2019,"all",132
"327","New Zealand",2019,"all",1803
"328","Nicaragua",2019,"all",13943
"329","Niger",2019,"all",98750
"330","Nigeria",2019,"all",2201600
"331","Niue",2019,"all",0
"332","North Macedonia",2019,"all",1238
"333","Northern Mariana Islands",2019,"all",293
"334","Norway",2019,"all",881
"335","occupied Palestinian territory, including east Jerusalem",2019,"all",131
"336","Oman",2019,"all",2115
"337","Pakistan",2019,"all",2849000
"338","Palau",2019,"all",34
"339","Panama",2019,"all",7853
"340","Papua New Guinea",2019,"all",188570
"341","Paraguay",2019,"all",16376
"342","Peru",2019,"all",191810
"343","Philippines",2019,"all",2996000
"344","Poland",2019,"all",28475
"345","Portugal",2019,"all",9954
"346","Puerto Rico",2019,"all",205
"347","Qatar",2019,"all",4935
"348","Republic of Korea",2019,"all",150378
"349","Republic of Moldova",2019,"all",16162
"350","Romania",2019,"all",63662
"351","Russian Federation",2019,"all",364010
"352","Rwanda",2019,"all",36020
"353","Saint Kitts and Nevis",2019,"all",0
"354","Saint Lucia",2019,"all",34
"355","Saint Vincent and the Grenadines",2019,"all",24
"356","Samoa",2019,"all",103
"357","San Marino",2019,"all",0
"358","Sao Tome and Principe",2019,"all",1234
"359","Saudi Arabia",2019,"all",16908
"360","Senegal",2019,"all",94700
"361","Serbia",2019,"all",6427
"362","Seychelles",2019,"all",79
"363","Sierra Leone",2019,"all",115980
"364","Singapore",2019,"all",11946
"365","Sint Maarten (Dutch part)",2019,"all",27
"366","Slovakia",2019,"all",1239
"367","Slovenia",2019,"all",559
"368","Solomon Islands",2019,"all",2225
"369","Somalia",2019,"all",199700
"370","South Africa",2019,"all",1799600
"371","South Sudan",2019,"all",125190
"372","Spain",2019,"all",21598
"373","Sri Lanka",2019,"all",68230
"374","Sudan",2019,"all",143330
"375","Suriname",2019,"all",833
"376","Sweden",2019,"all",2753
"377","Switzerland",2019,"all",2307
"378","Syrian Arab Republic",2019,"all",16134
"379","Tajikistan",2019,"all",38700
"380","Thailand",2019,"all",522400
"381","Timor-Leste",2019,"all",32270
"382","Togo",2019,"all",14988
"383","Tokelau",2019,"all",0
"384","Tonga",2019,"all",57
"385","Trinidad and Tobago",2019,"all",1251
"386","Tunisia",2019,"all",20555
"387","Turkey",2019,"all",64272
"388","Turkmenistan",2019,"all",13206
"389","Turks and Caicos Islands",2019,"all",22
"390","Tuvalu",2019,"all",172
"391","Uganda",2019,"all",440200
"392","Ukraine",2019,"all",169220
"393","United Arab Emirates",2019,"all",494
"394","United Kingdom of Great Britain and Northern Ireland",2019,"all",27017
"395","United Republic of Tanzania",2019,"all",684700
"396","United States of America",2019,"all",48714
"397","Uruguay",2019,"all",6087
"398","Uzbekistan",2019,"all",110570
"399","Vanuatu",2019,"all",623
"400","Venezuela (Bolivarian Republic of)",2019,"all",64430
"401","Viet Nam",2019,"all",849900
"402","Wallis and Futuna Islands",2019,"all",5
"403","Yemen",2019,"all",69660
"404","Zambia",2019,"all",297200
"405","Zimbabwe",2019,"all",144510
"406","Afghanistan",2019,"dia",6400
"407","Albania",2019,"dia",31
"408","Algeria",2019,"dia",2800
"409","Andorra",2019,"dia",0
"410","Angola",2019,"dia",7600
"411","Antigua and Barbuda",2019,"dia",0
"412","Argentina",2019,"dia",1120
"413","Armenia",2019,"dia",76
"414","Australia",2019,"dia",95
"415","Austria",2019,"dia",21
"416","Azerbaijan",2019,"dia",640
"417","Bahamas",2019,"dia",5
"418","Bahrain",2019,"dia",21
"419","Bangladesh",2019,"dia",30300
"420","Barbados",2019,"dia",0
"421","Belarus",2019,"dia",198
"422","Belgium",2019,"dia",44
"423","Belize",2019,"dia",11
"424","Benin",2019,"dia",404
"425","Bhutan",2019,"dia",131
"426","Bolivia (Plurinational State of)",2019,"dia",840
"427","Bosnia and Herzegovina",2019,"dia",63
"428","Botswana",2019,"dia",432
"429","Brazil",2019,"dia",7300
"430","Brunei Darussalam",2019,"dia",24
"431","Bulgaria",2019,"dia",99
"432","Burkina Faso",2019,"dia",542
"433","Burundi",2019,"dia",452
"434","Cabo Verde",2019,"dia",19
"435","Cambodia",2019,"dia",3020
"436","Cameroon",2019,"dia",2630
"437","Canada",2019,"dia",104
"438","Central African Republic",2019,"dia",1620
"439","Chad",2019,"dia",1360
"440","Chile",2019,"dia",329
"441","China",2019,"dia",69100
"442","Colombia",2019,"dia",1390
"443","Comoros",2019,"dia",19
"444","Congo",2019,"dia",1310
"445","Cook Islands",2019,"dia",0
"446","Costa Rica",2019,"dia",39
"447","Côte d'Ivoire",2019,"dia",2160
"448","Croatia",2019,"dia",22
"449","Cuba",2019,"dia",57
"450","Cyprus",2019,"dia",3
"451","Czechia",2019,"dia",38
"452","Democratic People's Republic of Korea",2019,"dia",6800
"453","Democratic Republic of the Congo",2019,"dia",14300
"454","Denmark",2019,"dia",11
"455","Djibouti",2019,"dia",160
"456","Dominica",2019,"dia",0
"457","Dominican Republic",2019,"dia",391
"458","Ecuador",2019,"dia",572
"459","Egypt",2019,"dia",1740
"460","El Salvador",2019,"dia",319
"461","Equatorial Guinea",2019,"dia",196
"462","Eritrea",2019,"dia",137
"463","Estonia",2019,"dia",10
"464","Eswatini",2019,"dia",337
"465","Ethiopia",2019,"dia",7200
"466","Fiji",2019,"dia",68
"467","Finland",2019,"dia",10
"468","France",2019,"dia",321
"469","Gabon",2019,"dia",940
"470","Gambia",2019,"dia",282
"471","Georgia",2019,"dia",342
"472","Germany",2019,"dia",247
"473","Ghana",2019,"dia",2370
"474","Greece",2019,"dia",28
"475","Grenada",2019,"dia",0
"476","Guatemala",2019,"dia",358
"477","Guinea",2019,"dia",1270
"478","Guinea-Bissau",2019,"dia",403
"479","Guyana",2019,"dia",58
"480","Haiti",2019,"dia",1390
"481","Honduras",2019,"dia",254
